,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
10,Donald Trump,All polls,10/26/2018,1/23/2017,1/24/2017,Public Policy Polling,B,1043.0,rv,1.165807,0.0,44.0,44.0,43.32967,44.34305,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,09:39:46 26 Oct 2018,736353.0
11,Donald Trump,All polls,10/26/2018,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.20477,0.0,59.0,41.0,53.67122,41.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,09:39:46 26 Oct 2018,736354.0
12,Donald Trump,All polls,10/26/2018,1/23/2017,1/25/2017,YouGov,B,2692.0,a,1.577144,0.0,41.0,35.0,41.98506,37.46565,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,09:39:46 26 Oct 2018,736354.0
13,Donald Trump,All polls,10/26/2018,1/23/2017,1/27/2017,Ipsos,B+,1712.0,a,0.1914354,0.0,44.5,45.5,44.958,44.231590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,09:39:46 26 Oct 2018,736356.0
14,Donald Trump,All polls,10/26/2018,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1918633,0.0,55.0,45.0,49.67122,45.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,09:39:46 26 Oct 2018,736355.0
15,Donald Trump,All polls,10/26/2018,1/24/2017,1/26/2017,Gallup,B,1500.0,a,0.190472,0.0,45.0,48.0,46.03185,46.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,09:39:46 26 Oct 2018,736355.0
16,Donald Trump,All polls,10/26/2018,1/24/2017,1/28/2017,Ipsos,B+,1684.0,a,0.1784696,0.0,45.4,46.0,45.85801,44.731590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,09:39:46 26 Oct 2018,736357.0
17,Donald Trump,All polls,10/26/2018,1/25/2017,1/27/2017,Gallup,B,1500.0,a,0.18250020000000003,0.0,42.0,50.0,43.03185,48.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,09:39:46 26 Oct 2018,736356.0
18,Donald Trump,All polls,10/26/2018,1/25/2017,1/29/2017,Ipsos,B+,1630.0,a,0.1646691,0.0,48.2,45.1,48.658,43.831579999999995,,T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,09:39:46 26 Oct 2018,736358.0
19,Donald Trump,All polls,10/26/2018,1/26/2017,1/28/2017,Gallup,B,1500.0,a,0.1759301,0.0,42.0,51.0,43.03185,49.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,09:39:46 26 Oct 2018,736357.0
20,Donald Trump,All polls,10/26/2018,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.103974,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,09:39:46 26 Oct 2018,736358.0
21,Donald Trump,All polls,10/26/2018,1/26/2017,1/28/2017,Morning Consult,B-,1991.0,rv,0.7914965,0.0,49.0,41.0,45.96395,43.15502,,,http://www.politico.com/story/2017/02/poll-donald-trump-voter-fraud-234458,49241,77253,1/29/2017,09:39:46 26 Oct 2018,736357.0
22,Donald Trump,All polls,10/26/2018,1/27/2017,1/29/2017,Gallup,B,1500.0,a,0.1705319,0.0,43.0,50.0,44.03185,48.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,09:39:46 26 Oct 2018,736358.0
23,Donald Trump,All polls,10/26/2018,1/26/2017,1/30/2017,Ipsos,B+,2204.0,a,0.2132604,0.0,46.8,45.8,47.258,44.53159,,T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,09:39:46 26 Oct 2018,736359.0
24,Donald Trump,All polls,10/26/2018,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.2973784,0.0,51.0,49.0,45.67122,49.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,09:39:46 26 Oct 2018,736359.0
25,Donald Trump,All polls,10/26/2018,1/26/2017,1/30/2017,SurveyMonkey,D-,4444.0,a,0.21243510000000002,0.0,48.0,50.0,45.68448,48.73281,,,https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,09:39:46 26 Oct 2018,736359.0
26,Donald Trump,All polls,10/26/2018,1/27/2017,1/31/2017,Ipsos,B+,3153.0,a,0.2940032,0.0,45.3,46.9,45.758,45.63159,,T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,09:39:46 26 Oct 2018,736360.0
27,Donald Trump,All polls,10/26/2018,1/28/2017,1/30/2017,Gallup,B,1500.0,a,0.16613970000000003,0.0,43.0,51.0,44.03185,49.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,09:39:46 26 Oct 2018,736359.0
28,Donald Trump,All polls,10/26/2018,1/27/2017,2/2/2017,IBD/TIPP,A-,885.0,a,1.517317,0.0,42.0,48.0,44.089890000000004,46.35942,,,http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,09:39:46 26 Oct 2018,736362.0
29,Donald Trump,All polls,10/26/2018,1/29/2017,1/31/2017,Gallup,B,1500.0,a,0.1626348,0.0,43.0,52.0,44.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,09:39:46 26 Oct 2018,736360.0
30,Donald Trump,All polls,10/26/2018,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.15513010000000002,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,09:39:46 26 Oct 2018,736360.0
31,Donald Trump,All polls,10/26/2018,1/28/2017,2/1/2017,Ipsos,B+,3141.0,a,0.28465959999999996,0.0,45.0,47.9,45.458,46.63159,,T,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,09:39:46 26 Oct 2018,736361.0
32,Donald Trump,All polls,10/26/2018,1/28/2017,1/31/2017,YouGov,B,1500.0,a,0.8307608,0.0,43.0,44.0,43.98506,46.46565,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,09:39:46 26 Oct 2018,736360.0
33,Donald Trump,All polls,10/26/2018,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1516319,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,09:39:46 26 Oct 2018,736361.0
34,Donald Trump,All polls,10/26/2018,1/30/2017,2/1/2017,Gallup,B,1500.0,a,0.1599346,0.0,43.0,52.0,44.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,09:39:46 26 Oct 2018,736361.0
35,Donald Trump,All polls,10/26/2018,1/30/2017,1/31/2017,Public Policy Polling,B,725.0,rv,0.7824736999999999,0.0,47.0,49.0,46.32967,49.34305,,,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,09:39:46 26 Oct 2018,736360.0
36,Donald Trump,All polls,10/26/2018,1/29/2017,2/2/2017,Ipsos,B+,3154.0,a,0.2800674,0.0,45.3,47.4,45.758,46.13159,,T,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,09:39:46 26 Oct 2018,736362.0
37,Donald Trump,All polls,10/26/2018,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,B+,1002.0,a,1.544354,0.0,44.0,53.0,43.737109999999994,51.43678,,,http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,09:39:46 26 Oct 2018,736362.0
38,Donald Trump,All polls,10/26/2018,1/30/2017,2/3/2017,Ipsos,B+,3368.0,a,0.2952999,0.0,44.9,47.7,45.35801,46.43159,,T,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,09:39:46 26 Oct 2018,736363.0
39,Donald Trump,All polls,10/26/2018,1/31/2017,2/2/2017,Gallup,B,1500.0,a,0.15798620000000002,0.0,43.0,52.0,44.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,09:39:46 26 Oct 2018,736362.0
40,Donald Trump,All polls,10/26/2018,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.14863900000000002,0.0,54.0,46.0,48.67122,46.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,09:39:46 26 Oct 2018,736362.0
41,Donald Trump,All polls,10/26/2018,2/1/2017,2/2/2017,CBS News,A-,1019.0,a,1.631781,0.0,40.0,48.0,41.27867,47.303470000000004,,,http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,09:39:46 26 Oct 2018,736362.0
42,Donald Trump,All polls,10/26/2018,1/30/2017,2/5/2017,SurveyMonkey,D-,9219.0,a,0.2948259,0.0,46.0,52.0,43.68448,50.73281,,,https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,09:39:46 26 Oct 2018,736365.0
43,Donald Trump,All polls,10/26/2018,1/31/2017,2/4/2017,Ipsos,B+,2774.0,a,0.2421593,0.0,45.2,47.7,45.658,46.43159,,T,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,09:39:46 26 Oct 2018,736364.0
44,Donald Trump,All polls,10/26/2018,2/1/2017,2/3/2017,Gallup,B,1500.0,a,0.1562655,0.0,44.0,50.0,45.03185,48.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,09:39:46 26 Oct 2018,736363.0
45,Donald Trump,All polls,10/26/2018,2/1/2017,2/5/2017,Ipsos,B+,1849.0,a,0.16145120000000002,0.0,47.5,46.8,47.958,45.53159,,T,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,09:39:46 26 Oct 2018,736365.0
46,Donald Trump,All polls,10/26/2018,2/2/2017,2/4/2017,Gallup,B,1500.0,a,0.15475039999999998,0.0,42.0,53.0,43.03185,51.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,09:39:46 26 Oct 2018,736364.0
47,Donald Trump,All polls,10/26/2018,2/2/2017,2/4/2017,Morning Consult,B-,2070.0,rv,0.7955751,0.0,47.0,46.0,43.96395,48.15502,,,http://www.politico.com/story/2017/02/trump-democrats-poll-234778,49275,77289,2/5/2017,09:39:46 26 Oct 2018,736364.0
48,Donald Trump,All polls,10/26/2018,2/2/2017,2/4/2017,Zogby Interactive/JZ Analytics,C,860.0,lv,0.8962701999999999,0.0,47.0,43.0,44.81408,44.1689,,,https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,09:39:46 26 Oct 2018,736364.0
49,Donald Trump,All polls,10/26/2018,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.0870447,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,09:39:46 26 Oct 2018,736365.0
50,Donald Trump,All polls,10/26/2018,2/2/2017,2/6/2017,Ipsos,B+,1869.0,a,0.16351529999999997,0.0,47.1,47.5,47.558,46.231590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,09:39:46 26 Oct 2018,736366.0
51,Donald Trump,All polls,10/26/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000.0,lv,0.7322546999999999,0.0,48.0,48.0,43.9564,49.8624,,,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,09:39:46 26 Oct 2018,736366.0
52,Donald Trump,All polls,10/26/2018,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.2568875,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,09:39:46 26 Oct 2018,736366.0
53,Donald Trump,All polls,10/26/2018,2/2/2017,2/6/2017,Quinnipiac University,A-,1155.0,rv,1.502467,0.0,42.0,51.0,43.72704,49.528909999999996,,,https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,09:39:46 26 Oct 2018,736366.0
54,Donald Trump,All polls,10/26/2018,2/3/2017,2/5/2017,Gallup,B,1500.0,a,0.1534224,0.0,42.0,52.0,43.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,09:39:46 26 Oct 2018,736365.0
55,Donald Trump,All polls,10/26/2018,2/3/2017,2/7/2017,Ipsos,B+,1900.0,a,0.16666270000000002,0.0,47.5,47.6,47.958,46.331579999999995,,T,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,09:39:46 26 Oct 2018,736367.0
56,Donald Trump,All polls,10/26/2018,2/4/2017,2/6/2017,Gallup,B,1500.0,a,0.15226629999999997,0.0,42.0,54.0,43.03185,52.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,09:39:46 26 Oct 2018,736366.0
57,Donald Trump,All polls,10/26/2018,2/5/2017,2/7/2017,YouGov,B,1500.0,a,0.8567116,0.0,41.0,48.0,41.98506,50.46565,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,09:39:46 26 Oct 2018,736367.0
58,Donald Trump,All polls,10/26/2018,2/5/2017,2/6/2017,Emerson College,B+,617.0,rv,1.095338,0.0,48.0,47.0,47.38446,48.29766,,,http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,09:39:46 26 Oct 2018,736366.0
59,Donald Trump,All polls,10/26/2018,2/4/2017,2/8/2017,Ipsos,B+,1718.0,a,0.15122220000000003,0.0,47.5,47.6,47.958,46.331579999999995,,T,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,09:39:46 26 Oct 2018,736368.0
60,Donald Trump,All polls,10/26/2018,2/5/2017,2/7/2017,Gallup,B,1500.0,a,0.1512694,0.0,43.0,52.0,44.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,09:39:46 26 Oct 2018,736367.0
61,Donald Trump,All polls,10/26/2018,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1401103,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,09:39:46 26 Oct 2018,736367.0
62,Donald Trump,All polls,10/26/2018,2/5/2017,2/9/2017,Ipsos,B+,1756.0,a,0.15514760000000002,0.0,47.8,46.4,48.258,45.13159,,T,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,09:39:46 26 Oct 2018,736369.0
63,Donald Trump,All polls,10/26/2018,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1395808,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,09:39:46 26 Oct 2018,736368.0
64,Donald Trump,All polls,10/26/2018,2/6/2017,2/8/2017,Gallup,B,1500.0,a,0.15042160000000002,0.0,43.0,52.0,44.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,09:39:46 26 Oct 2018,736368.0
65,Donald Trump,All polls,10/26/2018,2/6/2017,2/10/2017,Ipsos,B+,1765.0,a,0.1565977,0.0,46.7,47.6,47.158,46.331579999999995,,T,http://polling.reuters.com/#poll/CP3_2/,49409,77582,3/1/2017,09:39:46 26 Oct 2018,736370.0
66,Donald Trump,All polls,10/26/2018,2/7/2017,2/9/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.13900929999999997,0.0,52.0,48.0,46.67122,48.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49278,77293,2/10/2017,09:39:46 26 Oct 2018,736369.0
67,Donald Trump,All polls,10/26/2018,2/7/2017,2/9/2017,Gallup,B,1500.0,a,0.1497145,0.0,42.0,52.0,43.03185,50.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,09:39:46 26 Oct 2018,736369.0
68,Donald Trump,All polls,10/26/2018,2/7/2017,2/8/2017,Public Policy Polling,B,712.0,rv,0.8233231,0.0,43.0,53.0,42.32967,53.34305,,,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,77302,2/9/2017,09:39:46 26 Oct 2018,736368.0
69,Donald Trump,All polls,10/26/2018,2/8/2017,2/10/2017,Gallup,B,1500.0,a,0.1491415,0.0,41.0,53.0,42.03185,51.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,09:39:46 26 Oct 2018,736370.0
70,Donald Trump,All polls,10/26/2018,2/6/2017,2/12/2017,SurveyMonkey,D-,9349.0,a,0.2229487,0.0,46.0,53.0,43.68448,51.73281,,,https://blog.electiontracking.surveymonkey.com/2017/02/13/trump-approval-february-6-12/,49281,77296,2/13/2017,09:39:46 26 Oct 2018,736372.0
71,Donald Trump,All polls,10/26/2018,2/7/2017,2/11/2017,Ipsos,B+,1770.0,a,0.157612,0.0,46.7,47.5,47.158,46.231590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,49408,77581,3/1/2017,09:39:46 26 Oct 2018,736371.0
72,Donald Trump,All polls,10/26/2018,2/8/2017,2/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.08267139999999999,0.0,52.0,48.0,46.67122,48.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49284,77299,2/13/2017,09:39:46 26 Oct 2018,736372.0
73,Donald Trump,All polls,10/26/2018,2/8/2017,2/12/2017,Ipsos,B+,1774.0,a,0.15840639999999998,0.0,46.3,48.4,46.758,47.13159,,T,http://polling.reuters.com/#poll/CP3_2/,49407,77580,3/1/2017,09:39:46 26 Oct 2018,736372.0
74,Donald Trump,All polls,10/26/2018,2/9/2017,2/10/2017,Morning Consult,B-,1791.0,rv,0.7121544,0.0,49.0,45.0,45.96395,47.15502,,,https://morningconsult.com/2017/02/15/poll-warren-wouldnt-beat-trump-2020-another-democrat/,49296,77311,2/11/2017,09:39:46 26 Oct 2018,736370.0
75,Donald Trump,All polls,10/26/2018,2/7/2017,2/12/2017,Pew Research Center,B-,1503.0,a,1.415614,0.0,39.0,56.0,40.92552,53.12689,,,http://www.people-press.org/2017/02/16/in-first-month-views-of-trump-are-already-strongly-felt-deeply-polarized/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=17-02-15%20feb%20political&org=982&lvl=100&ite=819&lea=171698&ctr=0&par=1&trk=,49308,77323,2/13/2017,09:39:46 26 Oct 2018,736372.0
76,Donald Trump,All polls,10/26/2018,2/9/2017,2/11/2017,Gallup,B,1500.0,a,0.14869770000000002,0.0,40.0,55.0,41.03185,53.224630000000005,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,09:39:46 26 Oct 2018,736371.0
77,Donald Trump,All polls,10/26/2018,2/9/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.2456696,0.0,52.0,48.0,46.67122,48.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49288,77303,2/14/2017,09:39:46 26 Oct 2018,736373.0
78,Donald Trump,All polls,10/26/2018,2/9/2017,2/13/2017,Ipsos,B+,1813.0,a,0.1621618,0.0,46.3,48.5,46.758,47.231590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,49406,77579,3/1/2017,09:39:46 26 Oct 2018,736373.0
79,Donald Trump,All polls,10/26/2018,2/10/2017,2/12/2017,Gallup,B,1500.0,a,0.1483796,0.0,40.0,54.0,41.03185,52.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,09:39:46 26 Oct 2018,736372.0
80,Donald Trump,All polls,10/26/2018,2/11/2017,2/13/2017,Harris Interactive,C+,2148.0,rv,1.342118,0.0,48.0,52.0,44.2764,51.36305,,,http://harvardharrispoll.com/wp-content/uploads/2017/02/Harvard-Harris-Topline-2.17.2017-Final.pdf,49369,77450,2/14/2017,09:39:46 26 Oct 2018,736373.0
81,Donald Trump,All polls,10/26/2018,2/11/2017,2/13/2017,Gallup,B,1500.0,a,0.1480987,0.0,40.0,54.0,41.03185,52.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,09:39:46 26 Oct 2018,736373.0
82,Donald Trump,All polls,10/26/2018,2/10/2017,2/14/2017,Ipsos,B+,1777.0,a,0.1589968,0.0,45.3,50.6,45.758,49.331579999999995,,T,http://polling.reuters.com/#poll/CP3_2/,49405,77578,3/1/2017,09:39:46 26 Oct 2018,736374.0
83,Donald Trump,All polls,10/26/2018,2/11/2017,2/13/2017,Fox News,A,1013.0,rv,1.81272,0.0,48.0,47.0,46.1885,47.89617,,,http://www.foxnews.com/politics/interactive/2017/02/14/fox-news-poll-february-14-2017/,49293,77308,2/14/2017,09:39:46 26 Oct 2018,736373.0
84,Donald Trump,All polls,10/26/2018,2/11/2017,2/15/2017,Ipsos,B+,1766.0,a,0.157712,0.0,45.8,50.4,46.258,49.13159,,T,http://polling.reuters.com/#poll/CP3_2/,49404,77577,3/1/2017,09:39:46 26 Oct 2018,736375.0
85,Donald Trump,All polls,10/26/2018,2/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1357629,0.0,53.0,47.0,47.67122,47.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49294,77309,2/15/2017,09:39:46 26 Oct 2018,736374.0
86,Donald Trump,All polls,10/26/2018,2/12/2017,2/14/2017,Gallup,B,1500.0,a,0.14785320000000002,0.0,40.0,53.0,41.03185,51.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49298,77314,2/15/2017,09:39:46 26 Oct 2018,736374.0
87,Donald Trump,All polls,10/26/2018,2/12/2017,2/14/2017,YouGov,B,1500.0,a,0.8015479999999999,0.0,43.0,47.0,43.98506,49.46565,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,09:39:46 26 Oct 2018,736374.0
88,Donald Trump,All polls,10/26/2018,2/13/2017,2/15/2017,Gallup,B,1500.0,a,0.1476415,0.0,40.0,54.0,41.03185,52.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49303,77319,2/16/2017,09:39:46 26 Oct 2018,736375.0
89,Donald Trump,All polls,10/26/2018,2/12/2017,2/16/2017,Ipsos,B+,1718.0,a,0.1529407,0.0,45.9,50.2,46.35801,48.93159,,T,http://polling.reuters.com/#poll/CP3_2/,49403,77576,3/1/2017,09:39:46 26 Oct 2018,736376.0
